index,fold,train_start,train_end,validation_start,validation_end,test_start,test_end,selected_strategy,validation_sharpe,validation_total_return,model_coefficient,model_r_squared_train_validation,test_rows
0,1,2010-01-05,2016-02-18,2016-02-19,2017-02-24,2017-02-27,2017-05-30,Threshold Long Only 10bps,0.8213212833992204,0.01746392992019752,0.07639546943168862,0.004840229579592625,63
1,2,2010-01-05,2016-05-24,2016-05-25,2017-05-30,2017-05-31,2017-08-29,Threshold Long Only 5bps,-0.3676781858199131,-0.03680679249031238,0.07671097324117351,0.0048725452898138455,63
2,3,2010-01-05,2016-08-23,2016-08-24,2017-08-29,2017-08-30,2017-11-30,Threshold Long Only 5bps,0.9413060652139131,0.04436342557372552,0.07659423189628665,0.004859543709296532,63
3,4,2010-01-05,2016-11-25,2016-11-28,2017-11-30,2017-12-01,2018-03-06,Threshold Long Only 5bps,0.8829893780339074,0.003885902981298983,0.07508147764343513,0.0046297378559216895,63
4,5,2010-01-05,2017-02-28,2017-03-01,2018-03-06,2018-03-07,2018-06-07,Threshold Long Short 10bps,1.471995288791012,0.05742095335074615,0.08145660573796842,0.005560176185738563,63
5,6,2010-01-05,2017-06-01,2017-06-02,2018-06-07,2018-06-08,2018-09-04,Threshold Long Short 10bps,0.5454227164861425,0.02845827651623778,0.07796380495644425,0.005179721746210175,63
6,7,2010-01-05,2017-08-31,2017-09-01,2018-09-04,2018-09-05,2018-12-06,Threshold Long Short 10bps,0.5643504345859305,0.029442048941176413,0.07677675433678594,0.004992917015988363,63
7,8,2010-01-05,2017-12-04,2017-12-05,2018-12-06,2018-12-07,2019-03-14,Threshold Long Short 10bps,0.38777529716659814,0.02656627714433535,0.07768825480665549,0.005196135813059333,63
8,9,2010-01-05,2018-03-08,2018-03-09,2019-03-14,2019-03-15,2019-06-20,Threshold Long Only 10bps,1.7291888744718427,0.052577702173705276,0.0877042589891122,0.006748270031447956,63
9,10,2010-01-05,2018-06-11,2018-06-12,2019-06-20,2019-06-21,2019-09-20,Threshold Long Short 10bps,1.622793074978315,0.10204676163969784,0.08641650198276571,0.006564806221922015,63
10,11,2010-01-05,2018-09-06,2018-09-07,2019-09-20,2019-09-24,2019-12-24,Threshold Long Only 10bps,1.325109626914798,0.03332048592290748,0.08388729471170857,0.006239717005124712,63
11,12,2010-01-05,2018-12-10,2018-12-11,2019-12-24,2019-12-25,2020-04-01,Threshold Long Short 10bps,1.4194090591083794,0.06813529978893729,0.08260115140268992,0.006072225413091936,63
12,13,2010-01-05,2019-03-18,2019-03-19,2020-04-01,2020-04-02,2020-07-03,Threshold Long Short 5bps,-0.20040751878120977,-0.02702641639570902,0.06891345796632962,0.004483578795362986,63
13,14,2010-01-05,2019-06-24,2019-06-25,2020-07-03,2020-07-06,2020-10-08,Threshold Long Only 5bps,-0.0026323721675214663,-0.0002512631266591292,0.0645956086157234,0.0040034382443845384,63
14,15,2010-01-05,2019-09-25,2019-09-26,2020-10-08,2020-10-09,2021-01-12,Threshold Long Only 5bps,0.08890274824184831,0.00859754119342826,0.06313234134445492,0.0038646818092874513,63
15,16,2010-01-05,2019-12-26,2019-12-27,2021-01-12,2021-01-13,2021-04-13,Threshold Long Short 5bps,0.14625623584343794,0.023042921085489887,0.06204786307341733,0.003738453407789555,63
16,17,2010-01-05,2020-04-03,2020-04-06,2021-04-13,2021-04-14,2021-07-15,Threshold Long Only 10bps,1.0113457535160195,0.03192881810912995,0.059678155949918585,0.003443790301480565,63
17,18,2010-01-05,2020-07-07,2020-07-08,2021-07-15,2021-07-16,2021-10-19,Threshold Long Only 10bps,1.2689586200249667,0.008721030867842039,0.06255360853316651,0.0037558234810571856,63
18,19,2010-01-05,2020-10-12,2020-10-13,2021-10-19,2021-10-20,2022-01-21,Threshold Long Short 10bps,0.7495631938202783,0.029190225012079463,0.06135142098074564,0.003595649696591652,63
19,20,2010-01-05,2021-01-14,2021-01-15,2022-01-21,2022-01-24,2022-04-25,Threshold Long Short 5bps,1.437605816998975,0.11009007810589666,0.06373358070293793,0.0038819213043899126,63
20,21,2010-01-05,2021-04-15,2021-04-16,2022-04-25,2022-04-26,2022-07-28,Threshold Long Short 5bps,2.5788923013040845,0.22696471331447565,0.06934303735715938,0.004684878280966309,63
21,22,2010-01-05,2021-07-19,2021-07-20,2022-07-28,2022-07-29,2022-10-31,Threshold Long Short 10bps,1.7087308206378207,0.07912038022795076,0.06800172294817695,0.004643246174934279,63
22,23,2010-01-05,2021-10-21,2021-10-22,2022-10-31,2022-11-01,2023-02-02,Threshold Long Short 10bps,2.1076081577520007,0.11020030246841195,0.07343993376200261,0.0055894858457339325,63
23,24,2010-01-05,2022-01-25,2022-01-26,2023-02-02,2023-02-03,2023-05-09,Threshold Long Short 10bps,2.644163721821138,0.1263754385160718,0.07280024267238712,0.005558113559406164,63
24,25,2010-01-05,2022-04-27,2022-04-28,2023-05-09,2023-05-10,2023-08-07,Threshold Long Only 10bps,1.861187658876179,0.06806570495295361,0.07287503673907914,0.005621402544092047,63
25,26,2010-01-05,2022-08-01,2022-08-02,2023-08-07,2023-08-08,2023-11-08,Threshold Long Only 5bps,1.7177802520224768,0.07424680487631008,0.07319588900619664,0.005627791257886594,63
26,27,2010-01-05,2022-11-02,2022-11-04,2023-11-08,2023-11-09,2024-02-13,Threshold Long Only 5bps,1.4309903205167285,0.050993432423728446,0.07382623599857374,0.0057233543347061655,63
27,28,2010-01-05,2023-02-06,2023-02-07,2024-02-13,2024-02-14,2024-05-17,Threshold Long Only 5bps,1.1264935832791,0.03702176627355014,0.07364562303277922,0.005663827337341165,63
28,29,2010-01-05,2023-05-11,2023-05-12,2024-05-17,2024-05-20,2024-08-16,Threshold Long Only 5bps,1.090917334531142,0.03314074236243192,0.07399765943825835,0.005673773404577642,63
29,30,2010-01-05,2023-08-09,2023-08-10,2024-08-16,2024-08-19,2024-11-19,Threshold Long Short 10bps,1.3263899310193934,0.060712840275028324,0.08015694500905868,0.006171897077495325,63
30,31,2010-01-05,2023-11-10,2023-11-13,2024-11-19,2024-11-20,2025-02-25,Threshold Long Short 5bps,1.6432510439103896,0.217242136601826,0.08109770460086638,0.006243074166311424,63
31,32,2010-01-05,2024-02-15,2024-02-16,2025-02-25,2025-02-26,2025-05-29,Threshold Long Short 10bps,0.9923951065699682,0.053635258156088605,0.0793504229116227,0.005976049955586316,63
32,33,2010-01-05,2024-05-21,2024-05-22,2025-05-29,2025-05-30,2025-08-28,Threshold Long Short 10bps,2.5356287320175412,0.3082693236572953,0.11233865861324129,0.01222506548937441,63
33,34,2010-01-05,2024-08-20,2024-08-21,2025-08-28,2025-08-29,2025-12-02,Threshold Long Short 10bps,2.3074213924200087,0.2638107504342133,0.11111849706466687,0.011898134325851295,63
34,35,2010-01-05,2024-11-21,2024-11-22,2025-12-02,2025-12-03,2026-03-09,Threshold Long Short 10bps,2.358874365351267,0.26213283343286253,0.11280377170740032,0.012133664833533508,63
35,36,2010-01-05,2025-02-27,2025-02-28,2026-03-09,2026-03-10,2026-05-27,Threshold Long Short 10bps,2.755189543106825,0.310159790008637,0.11481281933954195,0.012382548437601892,52
